post_id,case_id,handle,platform,timestamp,activity_type,target_handle,content,ip_address,source_file
SOC-00001,CASE_001,@subject_b,synthetic-social,2026-08-16T00:00:00+00:00,POST,,Routine synthetic post,203.0.113.12,social.csv
SOC-00002,CASE_001,@subject_b,synthetic-social,2026-08-17T00:00:00+00:00,POST,,Routine synthetic post,203.0.113.12,social.csv
SOC-00003,CASE_001,@subject_b,synthetic-social,2026-08-18T00:00:00+00:00,POST,,Routine synthetic post,203.0.113.12,social.csv
SOC-00004,CASE_002,@subject_d,synthetic-social,2026-08-15T09:21:00+00:00,POST,,Synthetic activity following transfer,203.0.113.14,social.csv
SOC-00005,CASE_002,@subject_d,synthetic-social,2026-08-15T13:25:00+00:00,POST,,Synthetic activity following transfer,203.0.113.14,social.csv
SOC-00006,CASE_002,@subject_d,synthetic-social,2026-08-15T17:22:00+00:00,POST,,Synthetic activity following transfer,203.0.113.14,social.csv
SOC-00007,CASE_002,@subject_d,synthetic-social,2026-08-15T21:16:00+00:00,POST,,Synthetic activity following transfer,203.0.113.14,social.csv
SOC-00008,CASE_002,@subject_d,synthetic-social,2026-08-16T01:26:00+00:00,POST,,Synthetic activity following transfer,203.0.113.14,social.csv
SOC-00009,CASE_002,@subject_d,synthetic-social,2026-08-16T05:25:00+00:00,POST,,Synthetic activity following transfer,203.0.113.14,social.csv
SOC-00010,CASE_002,@subject_d,synthetic-social,2026-08-16T09:28:00+00:00,POST,,Synthetic activity following transfer,203.0.113.14,social.csv
SOC-00011,CASE_002,@subject_d,synthetic-social,2026-08-16T13:25:00+00:00,POST,,Synthetic activity following transfer,203.0.113.14,social.csv
SOC-00012,CASE_002,@subject_d,synthetic-social,2026-08-16T17:22:00+00:00,POST,,Synthetic activity following transfer,203.0.113.14,social.csv
SOC-00013,CASE_002,@subject_d,synthetic-social,2026-08-16T21:18:00+00:00,POST,,Synthetic activity following transfer,203.0.113.14,social.csv
SOC-00014,CASE_002,@subject_d,synthetic-social,2026-08-17T01:24:00+00:00,POST,,Synthetic activity following transfer,203.0.113.14,social.csv
SOC-00015,CASE_002,@subject_d,synthetic-social,2026-08-17T05:16:00+00:00,POST,,Synthetic activity following transfer,203.0.113.14,social.csv
SOC-00016,CASE_002,@subject_d,synthetic-social,2026-08-17T09:23:00+00:00,POST,,Synthetic activity following transfer,203.0.113.14,social.csv
SOC-00017,CASE_002,@subject_d,synthetic-social,2026-08-17T13:22:00+00:00,POST,,Synthetic activity following transfer,203.0.113.14,social.csv
SOC-00018,CASE_002,@subject_d,synthetic-social,2026-08-17T17:22:00+00:00,POST,,Synthetic activity following transfer,203.0.113.14,social.csv
SOC-00019,CASE_002,@subject_d,synthetic-social,2026-08-17T21:25:00+00:00,POST,,Synthetic activity following transfer,203.0.113.14,social.csv
SOC-00020,CASE_002,@subject_d,synthetic-social,2026-08-18T01:23:00+00:00,POST,,Synthetic activity following transfer,203.0.113.14,social.csv
